Datum,Tijd,Valutadatum,Product,ISIN,Omschrijving,FX,Mutatie,,Saldo,,Order Id
08-05-2023,17:49,08-05-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,33 EUR",,,,EUR,53.34,
08-05-2023,17:49,08-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.33,EUR,53.01,
08-05-2023,06:46,05-05-2023,ING GROEP N.V.,NL0011821202,Dividend,,EUR,0.39,EUR,53.34,
08-05-2023,06:46,05-05-2023,ING GROEP N.V.,NL0011821202,Dividendbelasting,,EUR,-0.06,EUR,52.95,
03-05-2023,17:05,03-05-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 2,94 EUR",,,,EUR,53.01,
03-05-2023,17:05,03-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.94,EUR,50.07,
03-05-2023,07:36,02-05-2023,,,Valuta Creditering,,EUR,2.94,EUR,53.01,
03-05-2023,07:36,02-05-2023,,,Valuta Debitering,1.1027,USD,-3.24,USD,0.00,
02-05-2023,17:19,02-05-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 1,45 EUR",,,,EUR,50.07,
02-05-2023,17:19,02-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.45,EUR,48.62,
02-05-2023,07:35,01-05-2023,AT&T INC.,US00206R1023,Dividend,,USD,2.50,USD,3.24,
02-05-2023,07:35,01-05-2023,AT&T INC.,US00206R1023,Dividendbelasting,,USD,-0.37,USD,0.74,
02-05-2023,07:35,01-05-2023,,,Valuta Creditering,,EUR,1.45,EUR,50.07,
02-05-2023,07:35,01-05-2023,,,Valuta Debitering,1.1003,USD,-1.60,USD,1.11,
02-05-2023,07:29,01-05-2023,VERIZON COMMUNICATIONS,US92343V1044,Dividend,,USD,1.31,USD,2.71,
02-05-2023,07:29,01-05-2023,VERIZON COMMUNICATIONS,US92343V1044,Dividendbelasting,,USD,-0.20,USD,1.40,
01-05-2023,06:53,28-04-2023,ALTRIA GROUP INC.,US02209S1033,Dividend,,USD,1.88,USD,1.60,
01-05-2023,06:53,28-04-2023,ALTRIA GROUP INC.,US02209S1033,Dividendbelasting,,USD,-0.28,USD,-0.28,
28-04-2023,18:49,28-04-2023,,,Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 1 EUR,,,,EUR,48.62,
28-04-2023,18:49,28-04-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.00,EUR,47.62,
28-04-2023,07:25,27-04-2023,AHOLD DELHAIZE,NL0011794037,Dividend,,EUR,1.18,EUR,48.62,
28-04-2023,07:25,27-04-2023,AHOLD DELHAIZE,NL0011794037,Dividendbelasting,,EUR,-0.18,EUR,47.44,
20-04-2023,17:04,20-04-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,81 EUR",,,,EUR,47.62,
20-04-2023,17:04,20-04-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.81,EUR,46.81,
20-04-2023,07:13,19-04-2023,KPN KON,NL0000009082,Dividend,,EUR,0.95,EUR,47.62,
20-04-2023,07:13,19-04-2023,KPN KON,NL0000009082,Dividendbelasting,,EUR,-0.14,EUR,46.67,
18-04-2023,16:49,18-04-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,2 EUR",,,,EUR,46.81,
18-04-2023,16:49,18-04-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.20,EUR,46.61,
18-04-2023,07:37,17-04-2023,,,Valuta Creditering,,EUR,0.20,EUR,46.81,
18-04-2023,07:37,17-04-2023,,,Valuta Debitering,1.0953,USD,-0.22,USD,0.00,
17-04-2023,18:04,17-04-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 2,69 EUR",,,,EUR,46.61,
17-04-2023,18:04,17-04-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.69,EUR,43.92,
17-04-2023,07:34,14-04-2023,REALTY INCOME CORPORAT,US7561091049,Dividend,,USD,0.26,USD,0.22,
17-04-2023,07:34,14-04-2023,REALTY INCOME CORPORAT,US7561091049,Dividendbelasting,,USD,-0.04,USD,-0.04,
15-04-2023,07:36,14-04-2023,,,Valuta Creditering,,EUR,2.69,EUR,46.61,
15-04-2023,07:36,14-04-2023,,,Valuta Debitering,1.1020,USD,-2.96,USD,0.00,
14-04-2023,07:24,13-04-2023,MEDICAL PROPERTIES TRU,US58463J3041,Dividend,,USD,3.48,USD,2.96,
14-04-2023,07:24,13-04-2023,MEDICAL PROPERTIES TRU,US58463J3041,Dividendbelasting,,USD,-0.52,USD,-0.52,
05-04-2023,01:50,04-04-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,3 EUR",,,,EUR,43.92,
05-04-2023,01:50,04-04-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.30,EUR,43.62,
04-04-2023,08:20,31-03-2023,,,DEGIRO Aansluitingskosten 2023 (New York Stock Exchange - NSY),,EUR,-0.01,EUR,43.92,
04-04-2023,08:20,31-03-2023,,,DEGIRO Aansluitingskosten 2023 (Nasdaq - NDQ),,EUR,-0.01,EUR,43.93,
04-04-2023,08:20,31-03-2023,,,DEGIRO Aansluitingskosten 2023 (Tradegate AG - TDG),,EUR,-0.01,EUR,43.94,
04-04-2023,08:20,31-03-2023,,,DEGIRO Aansluitingskosten 2023 (Boerse Frankfurt - FRA),,EUR,-0.01,EUR,43.95,
04-04-2023,07:39,03-04-2023,,,Valuta Creditering,,EUR,0.34,EUR,43.96,
04-04-2023,07:39,03-04-2023,,,Valuta Debitering,1.0926,USD,-0.37,USD,0.00,
03-04-2023,17:50,03-04-2023,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 97,93 EUR",,,,EUR,43.62,
03-04-2023,17:50,03-04-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,97.93,EUR,141.55,
03-04-2023,09:04,03-04-2023,VANGUARD FTSE AW,IE00B3RBWM25,"Koop 1 @ 97,93 EUR",,EUR,-97.93,EUR,43.62,07d17d6b-cb47-4949-b9d7-2c506537783e
03-04-2023,06:44,31-03-2023,BANK OF AMERICA CORPOR,US0605051046,Dividend,,USD,0.44,USD,0.37,
03-04-2023,06:44,31-03-2023,BANK OF AMERICA CORPOR,US0605051046,Dividendbelasting,,USD,-0.07,USD,-0.07,
02-04-2023,21:01,31-03-2023,,,Flatex Interest Income,,EUR,0.00,EUR,141.55,
01-04-2023,04:51,31-03-2023,,,iDEAL Deposit,,EUR,100.00,EUR,141.55,
01-04-2023,04:51,31-03-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,-100.00,EUR,41.55,
31-03-2023,00:03,31-03-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,100.00,EUR,141.55,
20-03-2023,11:38,17-03-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 2,5 EUR",,,,EUR,41.55,
20-03-2023,11:38,17-03-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.50,EUR,39.05,
17-03-2023,16:50,17-03-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,2 EUR",,,,EUR,41.55,
17-03-2023,16:50,17-03-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.20,EUR,41.35,
17-03-2023,16:20,17-03-2023,,,DEGIRO courtesy,,EUR,2.50,EUR,41.55,
17-03-2023,07:40,16-03-2023,,,Valuta Creditering,,EUR,0.20,EUR,39.05,
17-03-2023,07:40,16-03-2023,,,Valuta Debitering,1.0637,USD,-0.21,USD,0.00,
16-03-2023,07:29,15-03-2023,REALTY INCOME CORPORAT,US7561091049,Dividend,,USD,0.25,USD,0.21,
16-03-2023,07:29,15-03-2023,REALTY INCOME CORPORAT,US7561091049,Dividendbelasting,,USD,-0.04,USD,-0.04,
14-03-2023,16:49,14-03-2023,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 111,15 EUR",,,,EUR,38.85,
14-03-2023,16:49,14-03-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,111.15,EUR,150.00,
14-03-2023,09:52,13-03-2023,,,iDEAL Deposit,,EUR,100.00,EUR,38.85,
14-03-2023,09:52,13-03-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,-100.00,EUR,-61.15,
14-03-2023,09:51,13-03-2023,,,iDEAL Deposit,,EUR,50.00,EUR,38.85,
14-03-2023,09:51,13-03-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,-50.00,EUR,-11.15,
13-03-2023,16:49,13-03-2023,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 16,73 EUR",,,,EUR,38.85,
13-03-2023,16:49,13-03-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,16.73,EUR,55.58,
13-03-2023,14:30,13-03-2023,MEDICAL PROPERTIES TRU,US58463J3041,Valuta Creditering,1.0677,USD,43.30,USD,0.00,c7d808de-0226-41fc-944e-713623f55669
13-03-2023,14:30,13-03-2023,MEDICAL PROPERTIES TRU,US58463J3041,Valuta Debitering,,EUR,-40.55,EUR,38.85,c7d808de-0226-41fc-944e-713623f55669
13-03-2023,14:30,13-03-2023,MEDICAL PROPERTIES TRU,US58463J3041,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-1.00,EUR,79.40,c7d808de-0226-41fc-944e-713623f55669
13-03-2023,14:30,13-03-2023,MEDICAL PROPERTIES TRU,US58463J3041,"Koop 5 @ 8,66 USD",,USD,-43.30,USD,-43.30,c7d808de-0226-41fc-944e-713623f55669
13-03-2023,09:00,13-03-2023,ABN AMRO GROUP,NL0011540547,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-3.00,EUR,80.40,4ff2707b-cfd3-4d97-8d52-323d35c99300
13-03-2023,09:00,13-03-2023,ABN AMRO GROUP,NL0011540547,"Koop 3 @ 15,985 EUR",,EUR,-47.96,EUR,83.40,4ff2707b-cfd3-4d97-8d52-323d35c99300
13-03-2023,09:00,13-03-2023,KPN KON,NL0000009082,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-3.00,EUR,131.36,d2b9a491-e7ce-47f9-a726-3cf4e8d5e0f1
13-03-2023,09:00,13-03-2023,KPN KON,NL0000009082,"Koop 10 @ 3,237 EUR",,EUR,-32.37,EUR,134.36,d2b9a491-e7ce-47f9-a726-3cf4e8d5e0f1
12-03-2023,21:07,12-03-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,50.00,EUR,166.73,
12-03-2023,18:53,12-03-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,100.00,EUR,116.73,
10-03-2023,17:49,10-03-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 1,07 EUR",,,,EUR,16.73,
10-03-2023,17:49,10-03-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.07,EUR,15.66,
10-03-2023,07:38,09-03-2023,,,Valuta Creditering,,EUR,1.07,EUR,16.73,
10-03-2023,07:38,09-03-2023,,,Valuta Debitering,1.0607,USD,-1.14,USD,0.00,
09-03-2023,14:27,09-03-2023,CASTOR MARITIME INC. - COMMON SHARES,MHY1146L1258,Verrekening van Aandelen,,USD,1.14,USD,1.14,
08-03-2023,14:45,08-03-2023,TORO CORP. - COMMON STOCK,MHY8900D1085,SPIN-OFF: Koop 0 @ 0 USD,,USD,0.00,USD,0.00,
02-03-2023,12:20,01-03-2023,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 2,64 EUR",,,,EUR,15.66,
02-03-2023,12:20,01-03-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,2.64,EUR,18.30,
01-03-2023,15:06,28-02-2023,,,DEGIRO Aansluitingskosten 2023 (New York Stock Exchange - NSY),,EUR,-0.05,EUR,15.66,
01-03-2023,15:06,28-02-2023,,,DEGIRO Aansluitingskosten 2023 (Nasdaq - NDQ),,EUR,-0.05,EUR,15.71,
01-03-2023,15:06,28-02-2023,,,DEGIRO Aansluitingskosten 2023 (Tradegate AG - TDG),,EUR,-2.49,EUR,15.76,
01-03-2023,15:06,28-02-2023,,,DEGIRO Aansluitingskosten 2023 (Boerse Frankfurt - FRA),,EUR,-0.05,EUR,18.25,
23-02-2023,04:21,23-02-2023,FBR LTD,AU000000FBR4,"PRODUCTWIJZIGING : Koop 500 @ 0,039 EUR",,EUR,0.00,EUR,18.30,
23-02-2023,02:30,23-02-2023,FBR LTD.,AU000000FBR4,"PRODUCTWIJZIGING : Verkoop 500 @ 0,039 EUR",,EUR,0.00,EUR,18.30,
17-02-2023,16:49,17-02-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,2 EUR",,,,EUR,18.30,
17-02-2023,16:49,17-02-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.20,EUR,18.10,
17-02-2023,07:39,16-02-2023,,,Valuta Creditering,,EUR,0.20,EUR,18.30,
17-02-2023,07:39,16-02-2023,,,Valuta Debitering,1.0700,USD,-0.21,USD,0.00,
16-02-2023,17:23,16-02-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,77 EUR",,,,EUR,18.10,
16-02-2023,17:23,16-02-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.77,EUR,17.33,
16-02-2023,07:35,15-02-2023,,,Valuta Creditering,,EUR,0.77,EUR,18.10,
16-02-2023,07:35,15-02-2023,,,Valuta Debitering,1.0715,USD,-0.82,USD,0.21,
16-02-2023,07:24,15-02-2023,REALTY INCOME CORPORAT,US7561091049,Dividend,,USD,0.25,USD,1.03,
16-02-2023,07:24,15-02-2023,REALTY INCOME CORPORAT,US7561091049,Dividendbelasting,,USD,-0.04,USD,0.78,
15-02-2023,07:17,14-02-2023,ONEOK INC. COMMON STO,US6826801036,Dividend,,USD,0.96,USD,0.82,
15-02-2023,07:17,14-02-2023,ONEOK INC. COMMON STO,US6826801036,Dividendbelasting,,USD,-0.14,USD,-0.14,
03-02-2023,17:49,03-02-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 2,96 EUR",,,,EUR,17.33,
03-02-2023,17:49,03-02-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.96,EUR,14.37,
03-02-2023,07:36,02-02-2023,,,Valuta Creditering,,EUR,2.96,EUR,17.33,
03-02-2023,07:36,02-02-2023,,,Valuta Debitering,1.0937,USD,-3.24,USD,0.00,
02-02-2023,07:41,01-02-2023,AT&T INC.,US00206R1023,Dividend,,USD,2.50,USD,3.24,
02-02-2023,07:41,01-02-2023,AT&T INC.,US00206R1023,Dividendbelasting,,USD,-0.37,USD,0.74,
02-02-2023,07:27,01-02-2023,VERIZON COMMUNICATIONS,US92343V1044,Dividend,,USD,1.31,USD,1.11,
02-02-2023,07:27,01-02-2023,VERIZON COMMUNICATIONS,US92343V1044,Dividendbelasting,,USD,-0.20,USD,-0.20,
02-02-2023,02:10,01-02-2023,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 0,42 EUR",,,,EUR,14.37,
02-02-2023,02:10,01-02-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,0.42,EUR,14.79,
01-02-2023,13:06,31-01-2023,,,DEGIRO Aansluitingskosten 2023 (New York Stock Exchange - NSY),,EUR,-0.14,EUR,14.37,
01-02-2023,13:06,31-01-2023,,,DEGIRO Aansluitingskosten 2023 (Nasdaq - NDQ),,EUR,-0.14,EUR,14.51,
01-02-2023,13:06,31-01-2023,,,DEGIRO Aansluitingskosten 2023 (Boerse Frankfurt - FRA),,EUR,-0.14,EUR,14.65,
17-01-2023,17:19,17-01-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,26 EUR",,,,EUR,14.79,
17-01-2023,17:19,17-01-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.26,EUR,14.53,
17-01-2023,07:34,16-01-2023,,,Valuta Creditering,,EUR,0.19,EUR,14.79,
17-01-2023,07:34,16-01-2023,,,Valuta Debitering,1.0848,USD,-0.21,USD,0.00,
17-01-2023,06:58,16-01-2023,ING GROEP N.V.,NL0011821202,Dividend,,EUR,0.08,EUR,14.60,
17-01-2023,06:58,16-01-2023,ING GROEP N.V.,NL0011821202,Dividendbelasting,,EUR,-0.01,EUR,14.52,
16-01-2023,17:19,16-01-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 1,59 EUR",,,,EUR,14.53,
16-01-2023,17:19,16-01-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.59,EUR,12.94,
16-01-2023,07:18,13-01-2023,REALTY INCOME CORPORAT,US7561091049,Dividend,,USD,0.25,USD,0.21,
16-01-2023,07:18,13-01-2023,REALTY INCOME CORPORAT,US7561091049,Dividendbelasting,,USD,-0.04,USD,-0.04,
14-01-2023,08:32,13-01-2023,,,Valuta Creditering,,EUR,1.59,EUR,14.53,
14-01-2023,08:32,13-01-2023,,,Valuta Debitering,1.0858,USD,-1.73,USD,0.00,
13-01-2023,07:24,12-01-2023,MEDICAL PROPERTIES TRU,US58463J3041,Dividend,,USD,2.03,USD,1.73,
13-01-2023,07:24,12-01-2023,MEDICAL PROPERTIES TRU,US58463J3041,Dividendbelasting,,USD,-0.30,USD,-0.30,
12-01-2023,18:19,12-01-2023,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 1,48 EUR",,,,EUR,12.94,
12-01-2023,18:19,12-01-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.48,EUR,11.46,
12-01-2023,07:34,11-01-2023,,,Valuta Creditering,,EUR,1.48,EUR,12.94,
12-01-2023,07:34,11-01-2023,,,Valuta Debitering,1.0784,USD,-1.60,USD,0.00,
11-01-2023,07:02,10-01-2023,ALTRIA GROUP INC.,US02209S1033,Dividend,,USD,1.88,USD,1.60,
11-01-2023,07:02,10-01-2023,ALTRIA GROUP INC.,US02209S1033,Dividendbelasting,,USD,-0.28,USD,-0.28,
04-01-2023,14:11,02-01-2023,,,Flatex Interest Income,,EUR,0.00,EUR,11.46,
04-01-2023,05:36,03-01-2023,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 6,55 EUR",,,,EUR,11.46,
04-01-2023,05:36,03-01-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,6.55,EUR,18.01,
03-01-2023,13:59,31-12-2022,,,DEGIRO Aansluitingskosten 2023 (New York Stock Exchange - NSY),,EUR,-2.30,EUR,11.46,
03-01-2023,13:59,31-12-2022,,,DEGIRO Aansluitingskosten 2023 (Nasdaq - NDQ),,EUR,-2.30,EUR,13.76,
03-01-2023,13:59,31-12-2022,,,DEGIRO Aansluitingskosten 2023 (Boerse Frankfurt - FRA),,EUR,-2.30,EUR,16.06,
03-01-2023,07:41,02-01-2023,,,Valuta Creditering,,EUR,0.35,EUR,18.36,
03-01-2023,07:41,02-01-2023,,,Valuta Debitering,1.0693,USD,-0.37,USD,0.00,
02-01-2023,07:49,30-12-2022,BANK OF AMERICA CORPOR,US0605051046,Dividend,,USD,0.44,USD,0.37,
02-01-2023,07:49,30-12-2022,BANK OF AMERICA CORPOR,US0605051046,Dividendbelasting,,USD,-0.07,USD,-0.07,
19-12-2022,18:34,19-12-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,2 EUR",,,,EUR,18.01,
19-12-2022,18:34,19-12-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.20,EUR,17.81,
17-12-2022,08:39,16-12-2022,,,Valuta Creditering,,EUR,0.20,EUR,18.01,
17-12-2022,08:39,16-12-2022,,,Valuta Debitering,1.0613,USD,-0.21,USD,0.00,
16-12-2022,07:24,15-12-2022,REALTY INCOME CORPORAT,US7561091049,Dividend,,USD,0.25,USD,0.21,
16-12-2022,07:24,15-12-2022,REALTY INCOME CORPORAT,US7561091049,Dividendbelasting,,USD,-0.04,USD,-0.04,
29-11-2022,10:34,28-11-2022,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 37,87 EUR",,,,EUR,17.81,
29-11-2022,10:34,28-11-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,37.87,EUR,55.68,
28-11-2022,21:45,28-11-2022,MEDICAL PROPERTIES TRU,US58463J3041,Valuta Creditering,1.0313,USD,38.03,USD,0.00,8ad31083-3459-4557-9baf-d620c20661bf
28-11-2022,21:45,28-11-2022,MEDICAL PROPERTIES TRU,US58463J3041,Valuta Debitering,,EUR,-36.87,EUR,17.81,8ad31083-3459-4557-9baf-d620c20661bf
28-11-2022,21:45,28-11-2022,MEDICAL PROPERTIES TRU,US58463J3041,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-1.00,EUR,54.68,8ad31083-3459-4557-9baf-d620c20661bf
28-11-2022,21:45,28-11-2022,MEDICAL PROPERTIES TRU,US58463J3041,"Koop 3 @ 12,6753 USD",,USD,-38.03,USD,-38.03,8ad31083-3459-4557-9baf-d620c20661bf
17-11-2022,16:34,17-11-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,2 EUR",,,,EUR,55.68,
17-11-2022,16:34,17-11-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.20,EUR,55.48,
17-11-2022,08:25,16-11-2022,,,Valuta Creditering,,EUR,0.20,EUR,55.68,
17-11-2022,08:25,16-11-2022,,,Valuta Debitering,1.0421,USD,-0.21,USD,0.00,
16-11-2022,17:19,16-11-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,77 EUR",,,,EUR,55.48,
16-11-2022,17:19,16-11-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.77,EUR,54.71,
16-11-2022,07:32,15-11-2022,,,Valuta Creditering,,EUR,0.77,EUR,55.48,
16-11-2022,07:32,15-11-2022,,,Valuta Debitering,1.0375,USD,-0.80,USD,0.21,
16-11-2022,07:19,15-11-2022,REALTY INCOME CORPORAT,US7561091049,Dividend,,USD,0.25,USD,1.01,
16-11-2022,07:19,15-11-2022,REALTY INCOME CORPORAT,US7561091049,Dividendbelasting,,USD,-0.04,USD,0.76,
15-11-2022,07:04,14-11-2022,ONEOK INC. COMMON STO,US6826801036,Dividend,,USD,0.94,USD,0.80,
15-11-2022,07:04,14-11-2022,ONEOK INC. COMMON STO,US6826801036,Dividendbelasting,,USD,-0.14,USD,-0.14,
03-11-2022,17:49,03-11-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 3,29 EUR",,,,EUR,54.71,
03-11-2022,17:49,03-11-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-3.29,EUR,51.42,
03-11-2022,07:38,02-11-2022,,,Valuta Creditering,,EUR,3.29,EUR,54.71,
03-11-2022,07:38,02-11-2022,,,Valuta Debitering,0.9843,USD,-3.24,USD,0.00,
02-11-2022,09:29,01-11-2022,VERIZON COMMUNICATIONS,US92343V1044,Dividend,,USD,1.31,USD,3.24,
02-11-2022,09:29,01-11-2022,VERIZON COMMUNICATIONS,US92343V1044,Dividendbelasting,,USD,-0.20,USD,1.93,
02-11-2022,08:23,01-11-2022,AT&T INC.,US00206R1023,Dividend,,USD,2.50,USD,2.13,
02-11-2022,08:23,01-11-2022,AT&T INC.,US00206R1023,Dividendbelasting,,USD,-0.37,USD,-0.37,
17-10-2022,17:19,17-10-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 1,24 EUR",,,,EUR,51.42,
17-10-2022,17:19,17-10-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.24,EUR,50.18,
17-10-2022,07:33,14-10-2022,,,Valuta Creditering,,EUR,0.22,EUR,51.42,
17-10-2022,07:33,14-10-2022,,,Valuta Debitering,0.9746,USD,-0.21,USD,0.00,
16-10-2022,04:18,14-10-2022,REALTY INCOME CORPORAT,US7561091049,Dividend,,USD,0.25,USD,0.21,
16-10-2022,04:18,14-10-2022,REALTY INCOME CORPORAT,US7561091049,Dividendbelasting,,USD,-0.04,USD,-0.04,
15-10-2022,07:36,14-10-2022,,,Valuta Creditering,,EUR,1.02,EUR,51.20,
15-10-2022,07:36,14-10-2022,,,Valuta Debitering,0.9746,USD,-0.99,USD,0.00,
14-10-2022,07:18,13-10-2022,MEDICAL PROPERTIES TRU,US58463J3041,Dividend,,USD,1.16,USD,0.99,
14-10-2022,07:18,13-10-2022,MEDICAL PROPERTIES TRU,US58463J3041,Dividendbelasting,,USD,-0.17,USD,-0.17,
13-10-2022,17:19,13-10-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 1,64 EUR",,,,EUR,50.18,
13-10-2022,17:19,13-10-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.64,EUR,48.54,
13-10-2022,07:34,12-10-2022,,,Valuta Creditering,,EUR,1.64,EUR,50.18,
13-10-2022,07:34,12-10-2022,,,Valuta Debitering,0.9727,USD,-1.60,USD,0.00,
12-10-2022,07:13,11-10-2022,ALTRIA GROUP INC.,US02209S1033,Dividend,,USD,1.88,USD,1.60,
12-10-2022,07:13,11-10-2022,ALTRIA GROUP INC.,US02209S1033,Dividendbelasting,,USD,-0.28,USD,-0.28,
05-10-2022,12:20,04-10-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,38 EUR",,,,EUR,48.54,
05-10-2022,12:20,04-10-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.38,EUR,48.16,
04-10-2022,07:38,03-10-2022,,,Valuta Creditering,,EUR,0.38,EUR,48.54,
04-10-2022,07:38,03-10-2022,,,Valuta Debitering,0.9851,USD,-0.37,USD,0.00,
03-10-2022,17:49,03-10-2022,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 0,15 EUR",,,,EUR,48.16,
03-10-2022,17:49,03-10-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,0.15,EUR,48.31,
03-10-2022,09:03,30-09-2022,,,DEGIRO Aansluitingskosten 2022 (New York Stock Exchange - NSY),,EUR,-0.05,EUR,48.16,
03-10-2022,09:03,30-09-2022,,,DEGIRO Aansluitingskosten 2022 (Nasdaq - NDQ),,EUR,-0.05,EUR,48.21,
03-10-2022,09:03,30-09-2022,,,DEGIRO Aansluitingskosten 2022 (Boerse Frankfurt - FRA),,EUR,-0.05,EUR,48.26,
03-10-2022,07:24,30-09-2022,BANK OF AMERICA CORPOR,US0605051046,Dividend,,USD,0.44,USD,0.37,
